id,chart_template_id:id,code,name,user_type_id:id,reconcile
om_121000,l10n_om.l10n_om_chart_template_standard,121000,Account Receivable,account.data_account_type_receivable,TRUE
om_211000,l10n_om.l10n_om_chart_template_standard,211000,Account Payable,account.data_account_type_payable,TRUE
om_511000,l10n_om.l10n_om_chart_template_standard,511000,Cost of Goods Sold Account,account.data_account_type_direct_costs,FALSE
om_411100,l10n_om.l10n_om_chart_template_standard,411100,Sales Account,account.data_account_type_revenue,FALSE
om_201210,l10n_om.l10n_om_chart_template_standard,201210,Current Liabilities,account.data_account_type_current_liabilities,FALSE
om_511200,l10n_om.l10n_om_chart_template_standard,511200,Cost of Goods Sold Account,account.data_account_type_direct_costs,FALSE
om_113300,l10n_om.l10n_om_chart_template_standard,113300,Current Assets,account.data_account_type_current_assets,FALSE
om_616300,l10n_om.l10n_om_chart_template_standard,616300,Expenses,account.data_account_type_expenses,FALSE
om_112200,l10n_om.l10n_om_chart_template_standard,112200,Account Receivable (PoS),account.data_account_type_receivable,TRUE
om_213100,l10n_om.l10n_om_chart_template_standard,213100,VAT Payable,account.data_account_type_current_liabilities,FALSE
om_213300,l10n_om.l10n_om_chart_template_standard,213300,VAT Receivale,account.data_account_type_current_assets,FALSE
