id,chart_template_id:id,code,name,user_type_id:id,reconcile
tz_171000,l10n_tz.l10n_tz_chart_template_standard,171000,Account Receivable,account.data_account_type_receivable,TRUE
tz_711000,l10n_tz.l10n_tz_chart_template_standard,711000,Account Payable,account.data_account_type_payable,TRUE
tz_611000,l10n_tz.l10n_tz_chart_template_standard,611000,Cost of Goods Sold Account,account.data_account_type_direct_costs,FALSE
tz_511100,l10n_tz.l10n_tz_chart_template_standard,511100,Sales Account,account.data_account_type_revenue,FALSE
tz_701710,l10n_tz.l10n_tz_chart_template_standard,701710,Current Liabilities,account.data_account_type_current_liabilities,FALSE
tz_611700,l10n_tz.l10n_tz_chart_template_standard,611700,Cost of Goods Sold Account,account.data_account_type_direct_costs,FALSE
tz_224400,l10n_tz.l10n_tz_chart_template_standard,224400,Current Assets,account.data_account_type_current_assets,FALSE
tz_716400,l10n_tz.l10n_tz_chart_template_standard,716400,Expenses,account.data_account_type_expenses,FALSE
tz_667700,l10n_tz.l10n_tz_chart_template_standard,667700,Account Receivable (PoS),account.data_account_type_receivable,TRUE
tz_764400,l10n_tz.l10n_tz_chart_template_standard,764400,VAT Payable,account.data_account_type_current_liabilities,FALSE
tz_413300,l10n_tz.l10n_tz_chart_template_standard,413300,VAT Receivable,account.data_account_type_current_assets,FALSE
tz_201030,l10n_tz.l10n_tz_chart_template_standard,201030,Withholding Tax Payable,account.data_account_type_current_liabilities,FALSE
